player_name,total_goals,total_assists,total_shots,total_shots_on_target,total_minutes_played,average_rating
Hidajat Noorollahi,0,1,8,0,1233,3.3684210526315788
Hiroki Ogawa,2,0,9,2,1746,5.013888888888889
Hirving Alvarez,0,0,0,0,869,1.605
Hirving Ochoa,4,1,10,4,1512,3.4375
Hirving Pineda,1,1,9,2,1346,3.2649999999999997
Hirving Romo,5,1,20,6,1259,3.075
Houssem Belkebla,0,1,5,0,1552,3.6414634146341465
Houssem Brahimi,9,4,68,18,1984,5.058536585365854
Houssem Mokrani,2,5,25,4,1425,4.890243902439025
Husniddin Nasrullaev,9,4,23,9,1882,3.722727272727273
Husniddin Nematov,2,3,8,2,1218,3.184090909090909
Husniddin Umarov,1,2,13,1,1493,3.9454545454545453
Hussein Ibrahim,1,0,8,1,1436,3.202439024390244
Hussein Sadiq,1,2,14,2,1558,3.707317073170732
Hwang Choi,1,2,25,5,1337,4.5058823529411764
Hwang Oh,0,3,6,0,1154,3.644117647058824
Hwang Son,2,5,32,6,1567,4.238235294117647
Ibrahim Daoud,0,1,3,0,1421,3.3317073170731706
Ibrahim Mhawi,0,0,0,0,1131,2.653658536585366
Ibrahim Sadiq,4,4,39,11,1540,3.7390243902439027
Ibrahim Taher,1,1,12,2,1466,3.451219512195122
Idrissa Dia,2,6,14,2,1266,3.3736842105263154
Idrissa N'Diaye,3,2,11,4,1640,4.3052631578947365
Idrissa Sarr,0,1,0,0,912,1.760526315789474
Idrissa Seck,1,1,27,5,1560,3.892105263157895
In-beom Hwang,5,3,28,7,1169,3.514705882352941
In-beom Jung,1,2,9,1,1369,3.394117647058824
In-beom Seol,1,3,31,5,1415,4.138235294117647
Inaki Asante,5,5,20,7,1560,3.5377777777777775
Inaki Seidu,0,2,7,0,1803,4.535555555555556
Inaki Williams,9,3,31,12,1371,3.4488888888888884
Irfan Enes,1,1,16,2,1769,3.9
Irfan Under,5,4,32,6,1908,4.14
Islam Touzi,1,0,8,1,1881,3.7853658536585364
Ismael Benlamri,3,2,13,3,1567,3.8487804878048784
Ismael Boufantin,7,2,19,8,1338,3.129268292682927
Ismael Brahim,0,1,19,2,1410,3.724390243902439
Ismael Brahimi,0,1,0,0,1215,2.3560975609756096
Ismaila Ba,1,0,11,1,1851,4.705263157894737
Ismaila Koulibaly,0,2,17,2,1568,3.365789473684211
Ivan Bajkovic,5,5,29,7,1871,3.361224489795918
Ivan Erlic,2,1,17,3,1945,3.989795918367347
Ivan Gvardiol,0,2,13,0,1828,3.9857142857142858
Ivan Kramaric,0,0,0,0,594,0.963265306122449
Jack Toney,1,1,12,1,1772,3.9545454545454546
Jack White,1,8,25,3,1800,4.284090909090909
Jackson Baccus,0,1,6,0,1291,2.5382978723404253
Jackson Canga,2,0,10,2,2146,4.327659574468085
Jackson Duke,0,0,0,0,1115,1.9361702127659575
Jackson Kusini,2,2,15,4,1727,3.4851063829787234
Jackson Vukovic,12,4,64,20,1857,4.459574468085107
Jae-sung Hwang,4,3,33,9,1170,3.4647058823529413
Jae-sung Park,2,0,9,2,1462,3.7764705882352945
Jae-sung Yang,1,1,8,1,902,3.135294117647059
Jakub Helik,1,1,7,1,1733,3.8358974358974356
Jakub Zielinski,4,4,31,9,1191,3.830769230769231
Jaloliddin Rashidov,9,6,60,16,1532,3.565909090909091
Jaloliddin Sobirov,3,3,25,4,1351,3.4
Jaloliddin Tursunov,0,0,5,0,1187,2.975
Jamal Goretzka,0,0,6,1,1267,2.908823529411765
Jamal Havertz,0,0,0,0,777,1.8558823529411765
Jamal Koch,5,5,19,6,1466,5.108823529411764
Jamal Volland,2,0,14,4,1217,3.335294117647059
James Mina,0,0,0,0,1127,2.15
James Morelos,3,4,30,4,1664,4.552173913043478
James Munoz,1,3,20,2,1312,2.708695652173913
James Ospina,1,0,6,1,1652,3.630434782608696
Jan Bednarek,1,0,7,1,1431,4.105128205128205
Jan Kozlowski,3,3,12,3,1083,2.9769230769230766
Jan Milik,0,0,0,0,899,1.6717948717948719
Jan Rybus,1,1,18,1,1590,3.8076923076923075
Jannik Olsen,1,0,9,1,1775,4.0488372093023255
Jason Theate,1,1,17,1,2048,4.109803921568627
Jasurbek Alijanov,0,0,8,0,2215,5.204545454545454
Jean Bassogog,3,7,31,4,1883,4.652272727272727
Jean Delgado,3,4,8,3,1475,4.478378378378378
Jean Ondoa,0,0,9,0,1829,4.015909090909091
Jean Zavala,2,0,7,3,1270,3.289189189189189
Jefferson Chara,0,0,6,0,2044,3.928260869565217
Jefferson Rodriguez,2,2,27,3,2085,4.308695652173912
Jesus Alvarez,0,4,14,0,1218,3.7325000000000004
Jesus Gutierrez,0,1,11,0,1303,3.5325
Jesus Reyes,6,6,47,11,1794,4.39
Joakim Christensen,2,0,34,6,1625,3.5674418604651166
Joakim Maeland,2,1,5,2,1422,3.0744186046511626
Joakim Skov,6,3,24,7,1453,3.5209302325581397
Joao Felix,10,6,59,18,1550,4.053488372093024
Joao Neves,2,1,9,2,1691,4.0
Joao Taremi,2,2,25,2,2017,4.437209302325582
Joe Aina,3,0,11,3,1616,4.195
Joe Ajayi,1,2,10,1,1229,3.1550000000000002
Joe Iwobi,3,5,26,5,1544,3.6475
Joel Borges,0,2,0,0,1986,3.4847826086956526
Joel Oviedo,0,0,10,0,1525,3.752173913043478
Joel Salas,7,1,42,10,2120,4.1695652173913045
Joel Soto,3,5,17,4,1483,3.6891304347826086
John Armstrong,4,10,36,9,1915,4.489795918367347
John Bellingham,0,4,13,0,1821,3.6431818181818185
John Clark,4,2,55,11,1705,3.961224489795918
John Gilmour,0,1,0,0,1086,1.769387755102041
John Hanley,0,0,16,0,2100,3.559183673469388
John Palmer,3,1,9,3,1648,3.340909090909091
Jonathan Adekugbe,0,2,11,0,1918,4.202083333333333
Jonathan Cavallini,2,5,24,4,1471,3.8249999999999997
Jonathan Eustaquio,0,0,0,0,1079,1.85625
Jonathan Zator,5,3,21,6,1973,3.8249999999999997
Jordan Baba,2,2,10,2,1682,3.673333333333334
Jordan Issahaku,10,3,49,17,1434,4.04
Jordan Kasim,0,0,22,1,1824,3.1422222222222222
Jordan Williams,0,0,0,0,1306,2.566666666666667
Jorge Cordova,1,2,11,1,1721,3.88
Jorge Lozano,1,7,18,1,981,3.255
Jose Cavani,10,9,55,15,1841,4.76
Jose Davis,0,0,0,0,1312,2.3680851063829786
Jose Gomez,2,4,24,3,1600,4.131914893617021
Jose Omar,2,2,15,4,2052,4.117021276595745
Jose Rodriguez,3,3,26,4,1786,3.5444444444444443
Jose Torreira,1,0,6,1,1384,3.6244444444444444
Jose Torres,6,3,49,12,1629,4.187234042553191
Joshua Fulle,4,3,53,14,1361,4.235294117647059
Joshua Musiala,0,0,0,0,623,1.5205882352941178
Joshua Rudiger,1,2,4,1,1327,3.7176470588235295
Joshua Tah,1,1,6,1,1099,3.5029411764705882
Josko Bradaric,0,0,6,0,1910,3.8734693877551023
Josko Brozovic,4,3,37,10,1889,3.5020408163265304
Josko Musah,1,1,16,1,1898,3.4530612244897956
Juan Cuadrado,8,4,62,14,1841,4.256521739130435
Juan Munoz,5,1,20,5,1936,3.960869565217391
Juan Quintero,0,1,5,0,1781,3.739130434782609
Jude Chilwell,8,2,57,15,1602,3.6386363636363637
Jude Grealish,1,0,5,1,1309,3.5090909090909093
Jude Maddison,1,1,8,2,1067,2.8227272727272728
Jude Saka,0,0,0,0,1268,2.1772727272727272
Julian De Paul,0,0,0,0,669,1.7911764705882351
Julian Dybala,0,6,14,1,988,2.364705882352941
Julian Garay,8,6,53,17,1382,4.3
Julian Paredes,0,1,5,0,1106,3.2794117647058822
Junya Furuhashi,0,2,11,0,1386,4.372222222222223
Junya Kamada,4,1,16,4,1220,3.0999999999999996
Junya Nakano,2,7,35,5,1745,5.230555555555556
Kai Can,0,3,24,2,1462,4.408823529411765
Kai Musiala,5,4,16,7,1450,4.185294117647059
Kai Neuer,2,0,4,2,1242,3.7676470588235293
Kalidou Diallo,5,2,9,6,1195,3.681578947368421
Kalidou Faye,4,0,27,4,1468,3.7421052631578946
Kalidou Mendy,1,1,9,1,2993,3.9631578947368418
Kamaldeen Attiogbe,3,2,23,4,1797,3.922222222222222
Kamaldeen Ayew,1,0,18,2,1403,3.3777777777777778
Kamaldeen Barnieh,0,3,10,1,1536,3.4755555555555557
Kamil Jozwiak,1,0,10,1,1500,3.787179487179487
Kaoru Kamada,0,0,0,0,763,1.6722222222222223
Kaoru Machida,2,3,17,4,1382,3.8666666666666663
Kaoru Shiotani,3,4,43,8,1368,4.222222222222222
Kaoru Yoshida,1,3,5,1,1617,4.716666666666667
Karim Al-Ahmad,6,3,33,8,2407,3.992424242424242
Karim Barsham,1,2,18,1,2529,3.8393939393939394
Karim Boudiaf,7,1,55,12,2933,4.090909090909091
Karim Dejagah,1,1,9,2,1244,3.689473684210526
Karim Nourollahi,2,0,11,2,1075,3.3973684210526316
Karl Aboubakar,8,3,47,15,1525,3.7545454545454544
Karl Isak,2,2,12,2,1538,3.952777777777778
Karl Kristoffersen,0,0,8,0,1688,4.511111111111111
Karl Mbeumo,0,2,11,0,1446,3.7045454545454546
Karl Olinga,4,1,20,4,1418,3.5431818181818184
Kasey Dickinson,3,0,10,3,2082,3.8949152542372882
Kasey Hector,16,9,77,23,2091,3.8
Kasey Williams,2,1,30,2,3035,4.769491525423728
Kasper Cornelius,2,1,2,2,1432,3.453488372093023
Kasper Hojbjerg,0,5,17,0,1931,4.130232558139535
Keanu Duke,7,5,74,20,1902,4.51063829787234
Keanu McGree,2,0,10,2,1688,3.5531914893617023
Keanu Wright,2,5,23,3,1683,3.9851063829787234
Kevin Casteels,4,0,15,4,2088,4.0588235294117645
Kevin Lukaku,0,0,0,0,1281,1.8529411764705883
Kevin Saelemaekers,10,4,101,30,2076,4.41764705882353
Kevin Tielemans,1,2,16,1,2254,4.333333333333333
Keylor Aguilar,7,1,38,12,1346,3.4543478260869565
Keylor Calvo,0,0,16,1,2003,3.891304347826087
Keylor Campbell,0,0,0,0,1165,2.106521739130435
Keylor Watson,5,2,18,5,1939,3.7369565217391307
Kieran Dykes,2,1,13,2,1478,2.8632653061224493
Konrad Bardi,0,1,12,0,814,2.715151515151515
Konrad Posch,1,0,4,1,1068,3.587878787878788
Konrad Sabitzer,4,2,23,5,1103,3.490909090909091
Krzysztof Grosicki,2,1,7,2,1478,4.205128205128205
Krzysztof Milik,3,6,41,9,1493,3.676923076923077
Krzysztof Urbański,2,0,18,3,1859,4.294871794871795
Kyle Gallagher,0,0,7,0,1672,3.5704545454545453
Kylian Camavinga,0,0,8,1,1299,3.4735294117647055
Kylian Griezmann,0,0,0,0,953,2.3294117647058825
Kylian Maignan,2,4,10,2,1100,3.0588235294117645
Kylian Olise,5,2,34,10,1232,3.75
Lautaro De Paul,7,3,41,14,1191,3.5823529411764703
Lautaro Sosa,2,3,33,7,1362,4.314705882352941
Lautaro Tagliafico,0,1,9,0,1001,3.7058823529411766
Lazar Grujic,0,1,11,0,1605,3.7476190476190476
Lazar Ilic,4,2,9,4,1733,4.440476190476191
Leander Dendoncker,2,2,27,3,1489,3.43921568627451
Leander Doku,3,2,6,3,1936,3.6901960784313723
Leander Vanheusden,0,2,21,2,1347,2.9843137254901957
Leandro Balerdi,2,2,12,3,1504,4.302941176470589
Leandro Pezzella,1,1,4,1,942,3.1029411764705883
Leon Antonio,0,0,0,0,1919,2.5254237288135593
Leon Bishop,4,6,62,14,2042,3.823728813559322
Leon Gotze,7,0,12,8,1323,3.605882352941176
Leon Grant,3,5,16,3,2225,3.715254237288135
Leon Lowe,1,3,17,1,2687,4.874576271186441
Leon Sule,2,1,8,2,1556,5.18235294117647
Leroy Gotze,3,1,20,5,981,3.0029411764705882
Leroy Klostermann,3,0,8,4,1044,3.7235294117647055
Leroy Schlotterbeck,0,0,0,0,1222,2.8058823529411767
Leroy Werner,1,2,11,1,1168,3.735294117647059
Liam Cornelius,1,1,10,1,1981,3.8854166666666665
Liam David,4,2,10,4,2069,4.5375000000000005
Liam Gallagher,3,5,20,4,1568,3.3938775510204082
Liam Gilmour,3,7,67,15,2244,4.591836734693878
Liam Turnbull,0,0,8,0,1906,3.693877551020408
Lionel Alvarez,0,1,0,0,966,2.373529411764706
Lionel Martinez,0,1,4,0,1546,5.002941176470588
Lionel Montiel,2,1,18,3,1297,3.979411764705883
Lionel Sosa,2,2,19,4,1064,2.8323529411764703
Lorenzo Frascati,0,3,7,0,2109,4.718867924528301
Lorenzo Retegui,3,3,19,3,2493,4.411320754716981
Lucas Pavard,3,2,6,3,1482,3.8735294117647054
Lucas Todibo,2,2,13,2,1014,3.176470588235294
Ludwig Elanga,1,2,7,1,1281,3.7527777777777778
Ludwig Hiljemark,1,3,10,1,1090,2.9361111111111113
Ludwig Olsson,8,0,44,13,1189,3.638888888888889
Luis Abram,3,1,9,3,1695,4.264583333333333
Luis Araujo,1,2,13,2,1724,3.8555555555555556
Luis Cartagena,3,9,29,6,1507,3.939583333333333
Luis Cavani,0,0,0,0,840,1.491111111111111
Luis Lapadula,5,1,19,6,1664,3.8854166666666665
Luis Pellistri,4,3,21,5,1616,3.491111111111111
Luis Rodriguez,0,0,0,0,1328,2.2695652173913046
Luis Sanchez,1,0,9,1,1955,3.7304347826086954
Luis Sinisterra,1,6,12,2,1394,3.523913043478261
Luis Varela,2,2,40,6,1591,3.6266666666666665
Luis Villa,3,5,18,4,1590,3.7195652173913043
Luka Barisic,1,4,31,6,2056,4.457142857142857
Luka Kovacic,0,2,0,0,1436,2.1489795918367345
Luka Musah,12,4,52,17,1924,4.118367346938776
Luka Vlasic,0,2,21,0,2397,4.353061224489796
Luther Maboe,2,0,8,2,1274,3.4371428571428573
Luther Zwane,2,2,21,2,1671,4.494285714285715
Lyle Makgopa,1,1,6,1,1344,3.8971428571428572
Lyle Mbatha,4,1,31,9,1101,3.4771428571428573
Lyle Mothiba,1,3,16,1,1371,3.6885714285714286
Lyle Mvala,0,0,0,0,887,1.8914285714285715
Mahmoud Ibrahim,3,2,35,4,1676,4.406666666666667
Mahmoud Soliman,0,2,8,0,1924,4.997777777777778
Manuel Pfannenstiel,2,1,22,4,1308,3.36
Manuel Rieder,4,4,24,5,1482,4.0685714285714285
Manuel Seferovic,0,2,6,0,1440,3.977142857142857
Manuel Zuber,0,0,0,0,975,2.1857142857142855
Marcel Bavoli,5,1,40,11,1453,4.303030303030303
Marcel Dembir,2,3,15,4,1007,3.415151515151515
Marcel Kalajdzic,1,1,8,2,927,3.103030303030303
Marcel Lainer,0,0,0,0,768,1.993939393939394
Marcelo Kovacic,4,2,26,6,1685,3.3081632653061224
Marcelo Lovren,3,1,10,3,2027,3.806122448979592
Marcelo Petkovic,3,3,22,4,1697,3.395918367346939
Marco Calafiori,0,0,15,0,1655,3.158490566037736
Marco Carvajal,1,0,7,1,1567,4.388888888888889
Marco Locatelli,0,1,15,1,1856,3.9415094339622643
Marco Mikel,2,4,21,3,1868,3.8844444444444446
Marco Tonali,7,3,46,10,2488,4.715094339622642
Marcus Chilwell,5,5,41,10,1791,5.263636363636364
Marcus Mount,0,1,8,0,1731,4.2749999999999995
Marcus Rashford,5,3,47,8,1749,4.240909090909091
Mario Ivanusec,0,0,13,0,1092,2.9020408163265303
Mario Kovacic,3,3,26,6,1653,3.455102040816327
Marko Baumgartlinger,0,0,0,0,1102,2.5515151515151517
Marko Borrmann,0,2,7,0,915,2.378787878787879
Marko Gregoritsch,0,0,5,0,1595,4.6878787878787875
Marko Kick,3,4,37,12,987,3.9484848484848487
Marquinhos Nunes,3,3,20,4,1743,4.035555555555556
Marquinhos Paqueta,5,2,36,10,1450,3.042222222222222
Marquinhos Santos,0,4,15,2,1800,4.22
Martin Njie,1,2,9,1,1680,3.9068181818181817
Mat Cummins,1,2,13,1,1420,3.529787234042553
Mateo Brozovic,0,2,0,0,1717,3.438775510204082
Mateo Kljulanovic,4,3,21,5,1672,3.4632653061224485
Mateo Pasalic,1,0,9,1,1757,3.830612244897959
Mateo Stanisic,0,4,17,1,1772,3.9244897959183676
Mateusz Frankowski,1,0,6,1,1156,2.841025641025641
Mateusz Kozlowski,5,5,25,8,1258,3.6743589743589737
Mathew Behich,0,0,7,0,1685,4.278723404255319
Mathew Boyle,0,3,19,2,1841,3.94468085106383
Mathew Jones,3,3,30,4,1941,3.8446808510638295
Mathew Mooy,0,1,0,0,1244,2.048936170212766
Matthijs Blind,9,8,47,12,2583,4.17962962962963
Matthijs Timber,2,1,13,2,1664,3.264814814814815
Matthijs Wijndal,2,4,20,2,2027,3.3685185185185187
Mattias Karlsson,5,0,5,5,1321,3.952777777777778
Mattias Ljungberg,3,0,8,4,1697,4.116666666666666
Mauricio Isla,4,3,25,7,1581,3.762162162162162
Mauricio Montes,0,0,7,0,1181,3.118918918918919
Mauricio Riquelme,0,4,14,2,1412,3.581081081081081
Maximilian Baumgartlinger,3,2,14,4,1217,3.8666666666666667
Maximilian Bavoli,4,2,9,4,1141,4.43030303030303
Maximilian Seiwald,0,2,6,0,984,3.009090909090909
Mehdi Arefi,6,10,31,8,1940,4.826315789473685
Mehdi Azmoun,0,0,0,0,1505,3.1789473684210527
Mehdi Hajsafi,0,1,9,0,1489,3.6473684210526316
Mehdi Hazbavi,9,8,58,14,1327,3.6842105263157894
Memphis Simons,0,0,13,0,2085,4.348148148148148
Memphis Zerrouki,24,9,82,33,2235,4.607407407407408
Memphis van Dijk,0,0,0,0,1355,2.1277777777777778
Memphis van de Ven,4,1,18,5,1887,3.3111111111111113
Merih Kokcu,0,1,10,0,1519,3.408
Merih Turan,0,0,0,0,1646,2.346
Merih Unal,2,1,40,5,1982,3.9019999999999997
Merih Yildiz,3,3,25,4,1908,3.9619999999999997
Michael Brown,9,7,49,15,1761,3.774468085106383
Michael Cooper,0,0,0,0,1022,1.9553191489361703
Michael Escobar,0,2,3,0,1709,3.057446808510638
Michael Gonzalez,5,2,15,7,1370,3.1702127659574466
Michail Gray,0,1,0,0,1738,2.5610169491525423
Michail McCarey,2,5,26,3,2533,4.0288135593220336
Michail Pinnock,0,3,15,0,1950,3.6050847457627118
Michail Williams,3,4,38,6,2305,3.5915254237288137
Mikkel Bah,2,2,10,2,1814,3.827906976744186
Mikkel Hansen,1,3,10,2,1327,3.197674418604651
Min-jae Ji,6,7,34,10,1130,3.432352941176471
Min-jae Kim,2,1,9,2,1084,3.3794117647058823
Min-jae Son,0,0,0,0,774,1.8147058823529412
Min-jae Song,1,6,12,1,1747,4.088235294117647
Mohamed Elneny,1,1,9,1,1473,3.8377777777777777
Mohamed Gomaa,7,3,48,14,1569,4.06
Mohamed Hamdi,1,4,22,2,2038,4.373333333333334
Mohamed Hassan,1,1,6,1,1588,3.8244444444444445
Mohamed Marmoush,0,1,0,0,940,1.6377777777777778
Mohamed Trezeguet,3,3,41,9,1847,4.693333333333333
Mohamed Wahbi,2,1,13,2,1921,4.008888888888889
Mohammed Al-Breik,2,1,15,2,1934,3.5615384615384613
Mohammed Al-Hammadi,2,1,13,2,2313,4.036363636363636
Mohammed Al-Rubaie,3,9,53,11,2151,4.563461538461539
Mohammed Al-Shahrani,9,3,51,15,1655,3.319230769230769
Mohammed Attiogbe,9,8,75,21,1874,4.293333333333333
Mohammed Otoo,6,7,52,12,1939,4.764444444444445
Mohammed Partey,0,1,0,0,1167,2.16
Mohammed Sulemana,0,0,7,0,1381,2.897777777777778
Mohannad Al-Amiri,1,0,11,1,1558,3.7804878048780486
Mohannad Al-Saadi,2,3,25,4,1564,4.495121951219512
Mohannad Hussein,0,2,0,0,1142,2.697560975609756
Mohannad Majeed,15,10,53,20,1396,4.270731707317073
Moises Mena,0,1,0,0,935,1.4787234042553192
Moises Minda,0,1,10,0,1651,3.5851063829787235
Moises Pellerano,11,3,50,17,1360,3.393617021276596
Moises Torres,0,2,14,1,1973,4.491489361702127
Montassar Sassi,1,0,13,2,1830,3.9872340425531916
Morteza Azmoun,2,3,16,2,1433,3.7473684210526317
Morteza Karimi,0,3,7,0,1177,3.3736842105263154
Moses Agbadou,0,1,13,1,1810,3.7525
Moses Nwabili,5,4,10,5,1501,3.665
Mostafa Attia,0,1,15,2,1583,3.1488888888888886
Mostafa Gomaa,4,5,10,4,1630,3.2977777777777777
Mostafa Hegazi,3,2,46,11,1376,3.271111111111111
Mothobi Mokoena,1,2,4,1,1141,3.337142857142857
Mothobi Mvala,5,1,26,6,1539,3.8628571428571425
Mothobi Xoki,3,2,15,3,1406,3.734285714285714
Moumi Choupo-Moting,4,11,19,6,1490,4.261363636363637
Moumi Hongla,0,1,7,0,1799,4.372727272727273
Moussa Fall,1,2,5,1,1427,4.247368421052632
Mustafa Natiq,3,1,7,4,1397,3.1999999999999997
Mykhailo Besedin,0,1,11,0,1429,3.5157894736842104
Mykhailo Kryvtsov,3,2,22,6,1247,3.3894736842105266
Mykhailo Sudakov,0,0,0,0,1053,2.555263157894737
Mykhailo Zabarnyi,0,1,8,0,1175,3.7315789473684213
Nabil Bennacer,2,1,11,2,1417,3.482926829268293
Nabil Khezami,0,2,7,0,1501,3.575609756097561
Nader Chalali,1,5,7,1,1417,3.2723404255319153
Nader Haddadi,0,2,6,0,1570,3.627659574468085
Nader Skhiri,4,2,35,7,1789,3.6936170212765957
Nahitan Canobbio,3,0,10,3,1773,4.151111111111112
Nahuel Alvarez,0,3,12,1,1498,4.297058823529412
Nahuel Correa,0,1,16,1,1551,4.161764705882353
Nayef Boufal,0,0,21,0,2316,3.4927272727272727
Nayef Chibi,3,3,49,11,2354,4.16
Nayef Saibari,3,2,19,5,1985,4.0618181818181816
Nayef Ziyech,0,0,0,0,1708,2.441818181818182
Nemanja Jevtovic,4,8,24,4,1342,3.7023809523809526
Nemanja Lazovic,1,0,11,1,1247,3.642857142857143
Nemanja Savic,3,4,42,10,1762,4.092857142857143
Neymar Carvalho,6,1,36,7,1762,3.913333333333333
Neymar Junior,0,1,0,0,849,1.4311111111111112
Neymar Mendes,1,1,9,1,1716,3.8733333333333335
Neymar Pereira,1,3,10,1,1569,3.422222222222222
Nico Ginter,0,1,8,1,1179,3.6411764705882352
Nico Schlotterbeck,5,2,39,12,1106,3.5441176470588234
Nico Volland,2,6,29,8,1480,4.81764705882353
Nicolas Anguissa,8,4,26,9,1527,3.8318181818181816
Nicolas Mba,1,1,14,1,1390,3.2340909090909093
Nicolas Siani,2,0,12,2,1519,3.438636363636364
Nicolo Bastoni,0,2,17,0,2284,3.983018867924528
Nicolo Immobile,0,1,0,0,1992,2.939622641509434
Nicolo Retegui,4,3,30,6,2124,4.009433962264151
Nicolo Vicario,1,5,13,1,1678,3.0
Noussair Chibi,2,1,15,3,1946,3.401818181818182
Noussair El Khannouss,0,0,5,0,1696,3.4072727272727272
Oleksandr Bondarenko,11,4,54,20,1607,4.481578947368422
Oleksandr Shaparenko,0,1,19,1,1972,5.3315789473684205
Oleksandr Sydorchuk,4,3,17,4,1305,3.7684210526315787
Oleksandr Tsygankov,0,0,0,0,564,1.0973684210526315
Oleksiy Sobol,0,1,11,0,1558,3.5368421052631582
Olivier Badiashile,1,0,14,3,1553,4.144117647058824
Omar Elsaid,0,1,6,0,1554,3.6422222222222222
Omar Hegazi,0,1,0,0,1349,2.2577777777777777
Omar Koka,1,0,5,1,1428,2.968888888888889
Omar Wahbi,2,2,30,5,1645,3.8244444444444445
Orkun Bayindir,3,0,13,3,2069,3.8480000000000003
Oscar Campbell,2,2,12,2,1781,3.641304347826087
Oscar Chacon,1,0,8,1,2025,4.171739130434783
Osman Mensah,0,1,10,0,1983,4.640000000000001
Otabek Karimov,2,3,20,3,1728,3.4568181818181816
Otabek Nasrullaev,0,0,0,0,1072,2.209090909090909
Otabek Sattorov,2,1,18,4,1306,3.590909090909091
Otabek Yoldoshev,1,3,10,1,1514,3.7704545454545455
Ousmane Hernandez,0,0,0,0,922,2.038235294117647
Ousmane Konate,1,4,10,1,1160,4.276470588235294
Ousmane Todibo,6,2,59,17,1625,4.894117647058824
Ousmane Upamecano,0,0,7,0,1372,3.644117647058824
Paolo Carrillo,0,0,6,0,1354,3.497916666666667
Paolo Flores,0,3,16,2,1852,3.6604166666666664
Paolo Gonzalez,13,6,66,21,2293,4.2437499999999995
Paolo Lapadula,0,0,0,0,876,1.4395833333333332
Pape Faye,1,2,4,1,803,2.1605263157894736
Pape Gomis,0,1,11,0,1562,4.386842105263158
Pape Sarr,8,4,72,16,1362,4.678947368421053
Patrick Alvarado,1,1,8,1,1760,3.6739130434782608
Patrick Vargas,9,7,45,12,2139,4.539130434782609
Paulo Albornoz,0,1,10,0,1036,3.2513513513513512
Paulo Vidal,3,2,20,5,1326,3.402702702702703
Pedro Callens,0,2,7,0,1811,4.054166666666666
Pedro Cubarsi,4,4,28,8,1701,3.5733333333333337
Pedro Cueva,0,0,0,0,1388,2.1354166666666665
Pedro Garcia,0,4,11,0,1704,3.4125
Pedro Gavi,0,0,0,0,814,1.4466666666666665
Pedro Lliuya,2,1,40,6,1916,4.222916666666666
Pedro Neto,1,1,14,2,1638,3.434883720930232
Pedro Pepe,3,0,15,3,1502,3.4372093023255816
Pedro Riquelme,4,1,11,4,1241,3.311111111111111
Pedro Torres,1,0,8,1,1621,3.617777777777778
Pepe Carvalho,0,2,5,0,2141,5.706976744186047
Percy Lorch,2,2,15,2,1273,3.585714285714286
Percy Mkhize,4,1,20,6,1052,3.06
Percy Williams,1,0,8,1,1405,4.065714285714286
Percy Zwane,0,2,0,0,1146,2.297142857142857
Pervis Gruezo,0,1,9,0,1503,2.9468085106382977
Pervis Molina,4,2,52,8,2276,4.617021276595745
Pervis Palacios,0,2,28,1,2055,4.1191489361702125
Pervis Preciado,0,2,0,0,1532,2.4085106382978725
Phil Eze,2,8,28,5,1669,3.409090909090909
Phil Rashford,0,2,0,0,472,0.8386363636363636
Phil Walker,0,1,10,0,1582,3.475
Phil White,8,1,34,12,1363,3.938636363636364
Philipp Friedl,2,1,7,2,1416,4.209090909090909
Pierre-Emile Christensen,1,3,18,1,2587,2.4930232558139536
Pierre-Emile Damsgaard,1,2,8,1,1590,3.7860465116279074
Pierre-Emile Laursen,2,3,28,3,1671,3.832558139534884
Piotr Cash,1,6,28,4,1242,3.323076923076923
Piotr Glik,0,1,0,0,1405,2.7948717948717947
Piotr Szymanski,1,0,6,2,1910,4.282051282051282
Piotr Urbański,5,2,20,6,1204,2.7923076923076926
Radamel Cuesta,0,0,9,1,1628,3.3347826086956522
Radamel Rios,3,6,25,5,1936,4.376086956521739
Rafael Antonio,2,4,18,5,922,3.03953488372093
Rafael Fernandes,2,3,28,5,1458,2.9232558139534883
Rafael Guedes,1,2,6,1,1453,3.8186046511627905
Ramin Moharrami,0,0,6,0,1186,2.8973684210526316
Ramiz Boufantin,1,3,44,9,1230,3.697560975609756
Ramiz Mandrea,7,7,51,13,1860,4.429268292682926
Ramiz Slimani,1,0,8,1,1665,3.7195121951219514
Randal Brenes,1,1,10,1,1716,3.8978260869565218
Randal Diarra,0,0,11,2,1358,3.5264705882352945
Randal Duarte,14,6,49,19,1477,4.27391304347826
Randal Griezmann,1,3,16,1,937,3.338235294117647
Randal Salas,1,1,23,3,1898,4.041304347826087
Rasmus Andersen,2,1,9,2,1417,3.358139534883721
Rasmus Laursen,0,8,36,3,2020,5.281395348837209
Rasmus Wind,5,6,40,7,1331,3.2674418604651163
Raul Antuna,1,3,28,4,1523,4.26
Raul Herrera,1,0,7,1,1528,3.7175
Raul Lainez,0,0,0,0,1263,2.6275
Raul Torres,11,6,93,27,1848,5.3625
Remo Jashari,0,1,8,0,1631,4.917142857142857
Remo Shaqiri,0,1,7,0,1282,3.3514285714285714
Renato Lliuya,1,4,23,1,1861,4.252083333333333
Renato Traverso,2,1,7,2,1813,3.7895833333333333
